15-09-2023 13:03:02.571 [restartedMain] [student-forum, ] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@782b0692, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3b2dfe4e, org.springframework.security.web.context.SecurityContextHolderFilter@5ccc7f4c, org.springframework.security.web.header.HeaderWriterFilter@4e8074e7, org.springframework.web.filter.CorsFilter@6d1b70ce, org.springframework.security.web.authentication.logout.LogoutFilter@713d68ea, com.omerfurkan.studentforum.security.JwtAuthenticationFilter@45dc5c55, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@70967a7b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4320d199, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2b681743, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@43da0186, org.springframework.security.web.session.SessionManagementFilter@52860677, org.springframework.security.web.access.ExceptionTranslationFilter@13ca48d9, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4a577a55]
15-09-2023 13:03:02.630 [restartedMain] [student-forum, ] INFO  o.s.b.d.a.OptionalLiveReloadServer.startServer - LiveReload server is running on port 35729
15-09-2023 13:03:02.640 [restartedMain] [student-forum, ] INFO  o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-8080"]
15-09-2023 13:03:02.646 [restartedMain] [student-forum, ] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8080 (http) with context path ''
15-09-2023 13:03:02.651 [restartedMain] [student-forum, ] INFO  c.o.s.StudentforumApplication.logStarted - Started StudentforumApplication in 1.856 seconds (process running for 2.153)
15-09-2023 13:03:29.667 [SpringApplicationShutdownHook] [student-forum, ] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
15-09-2023 13:03:29.668 [SpringApplicationShutdownHook] [student-forum, ] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown initiated...
15-09-2023 13:03:29.672 [SpringApplicationShutdownHook] [student-forum, ] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown completed.
15-09-2023 13:03:30.948 [restartedMain] [student-forum, ] INFO  c.o.s.StudentforumApplication.logStarting - Starting StudentforumApplication using Java 17.0.6 with PID 53632 (/Users/furkan/Desktop/repos/student-forum/backend/studentforum/target/classes started by furkan in /Users/furkan/Desktop/repos/student-forum/backend)
15-09-2023 13:03:30.949 [restartedMain] [student-forum, ] INFO  c.o.s.StudentforumApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
15-09-2023 13:03:30.963 [restartedMain] [student-forum, ] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
15-09-2023 13:03:30.964 [restartedMain] [student-forum, ] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
15-09-2023 13:03:31.191 [restartedMain] [student-forum, ] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
15-09-2023 13:03:31.218 [restartedMain] [student-forum, ] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 25 ms. Found 10 JPA repository interfaces.
15-09-2023 13:03:31.419 [restartedMain] [student-forum, ] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
15-09-2023 13:03:31.422 [restartedMain] [student-forum, ] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-8080"]
15-09-2023 13:03:31.423 [restartedMain] [student-forum, ] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
15-09-2023 13:03:31.423 [restartedMain] [student-forum, ] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.12]
15-09-2023 13:03:31.441 [restartedMain] [student-forum, ] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
15-09-2023 13:03:31.441 [restartedMain] [student-forum, ] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 477 ms
15-09-2023 13:03:31.463 [restartedMain] [student-forum, ] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
15-09-2023 13:03:31.571 [restartedMain] [student-forum, ] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@25c10ef9
15-09-2023 13:03:31.572 [restartedMain] [student-forum, ] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
15-09-2023 13:03:31.598 [restartedMain] [student-forum, ] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
